"Country","Year","Dentists (per 10 000 population)","Dentists (number)","Dental Assistants and Therapists (number)","Dental Prosthetic Technicians (number)"
"Lebanon","2011","12.036","6261","",""
"Lebanon","2010","10.892","5395","",""
"Lebanon","2009","10.314","4964","",""
"Lebanon","2007","8.810","4200","",""
"Lebanon","2006","8.526","4058","",""
"Lebanon","2001","10.732","4283","",""
"Lesotho","2003","0.015","3","9","4"
"Liberia","2019","0.014","7","17",""
"Liberia","2010","0.059","23","",""
"Liberia","2009","0.061","23","",""
"Liberia","2008","0.011","4","",""
"Liberia","2004","0.010","3","7","3"
"Libya","2017","8.777","5776","",""
"Libya","2015","7.770","4987","",""
"Libya","2014","7.204","4583","",""
"Libya","2009","6.182","3792","",""
"Libya","2008","3.377","2046","",""
"Libya","2004","1.489","850","",""
"Libya","1997","1.354","693","",""
"Lithuania","2017","9.978","2839","",""
"Lithuania","2016","9.645","2787","",""
"Lithuania","2015","9.018","2644","",""
"Lithuania","2014","8.982","2669","",""
"Lithuania","2013","8.900","2678","",""
"Lithuania","2012","8.816","2685","",""
"Lithuania","2011","8.063","2486","",""
"Lithuania","2010","7.862","2456","",""
"Lithuania","2009","7.410","2347","",""
"Lithuania","2008","6.866","2206","",""
"Lithuania","2007","7.122","2321","",""
"Lithuania","2006","6.533","2158","",""
"Lithuania","2005","7.081","2368","",""
"Lithuania","2004","6.477","2190","",""
"Lithuania","2003","6.719","2294","",""
"Lithuania","2002","6.494","2237","",""
"Lithuania","2001","6.952","2415","",""
"Lithuania","2000","6.842","2396","",""
"Lithuania","1999","6.483","2288","",""
"Lithuania","1998","6.261","2226","",""
"Lithuania","1997","5.883","2106","",""
"Lithuania","1996","4.637","1671","",""
"Lithuania","1995","4.704","1706","",""
"Lithuania","1994","4.977","1816","",""
"Lithuania","1993","5.280","1938","",""
"Lithuania","1992","5.542","2044","",""
"Luxembourg","2017","9.816","581","",""
"Luxembourg","2016","9.494","550","",""
"Luxembourg","2015","8.929","506","",""
"Luxembourg","2014","8.584","476","",""
"Luxembourg","2013","8.478","460","",""
"Luxembourg","2012","8.307","441","",""
"Luxembourg","2011","8.396","436","",""
"Luxembourg","2010","8.309","422","",""
"Luxembourg","2009","8.218","408","",""
"Luxembourg","2008","8.199","398","",""
"Luxembourg","2007","8.128","386","",""
"Luxembourg","2006","8.054","375","",""
"Luxembourg","2005","8.082","370","",""
"Luxembourg","2004","7.835","354","",""
"Luxembourg","2003","6.550","293","",""
"Luxembourg","2002","6.491","288","",""
"Luxembourg","2001","6.247","275","",""
"Luxembourg","2000","5.962","260","",""
"Luxembourg","1999","6.237","269","",""
"Luxembourg","1998","6.153","262","",""
"Luxembourg","1997","5.833","245","",""
"Luxembourg","1996","5.580","231","",""
"Luxembourg","1995","5.464","223","",""
"Luxembourg","1994","5.219","210","",""
"Luxembourg","1993","5.116","203","",""
"Luxembourg","1992","5.238","205","",""
"Luxembourg","1991","5.124","198","",""
"Luxembourg","1990","5.186","198","",""
"Luxembourg","1989","","192","",""
"Madagascar","2013","0.048","111","",""
"Madagascar","2012","0.081","181","",""
"Madagascar","2011","0.083","180","",""
"Madagascar","2010","0.092","195","",""
"Madagascar","2009","0.087","178","",""
"Madagascar","2008","0.105","209","",""
"Madagascar","2007","0.100","194","",""
"Madagascar","2006","0.104","196","",""
"Madagascar","2005","0.107","197","",""
"Madagascar","2004","0.090","161","",""
"Madagascar","2003","0.092","159","",""
"Madagascar","2002","0.071","119","",""
"Malawi","2018","0.017","31","",""
"Malawi","2009","","","180",""
"Malawi","2008","0.127","174","211",""
"Malaysia","2018","3.082","9717","2928","6145"
"Malaysia","2015","3.500","10596","2816","1882"
"Malaysia","2012","1.568","4558","",""
"Malaysia","2011","1.484","4253","",""
"Malaysia","2010","1.351","3810","5436","749"
"Malaysia","2008","1.336","3640","",""
"Malaysia","2002","0.892","2160","",""
"Malaysia","2000","0.924","2144","",""
"Maldives","2018","1.997","103","",""
"Maldives","2017","1.672","83","44","1"
"Maldives","2015","1.363","62","",""
"Maldives","2014","","","","40"
"Maldives","2010","0.875","32","",""
"Maldives","2009","1.273","45","",""
"Maldives","2004","0.321","10","","4"
"Mali","2018","","","53",""
"Mali","2016","0.060","107","",""
"Mali","2010","0.023","35","2","66"
"Mali","2009","0.027","39","1","79"
"Mali","2004","0.036","44","","40"
"Malta","2019","4.837","213","155","186"
"Malta","2015","4.751","206","",""
"Malta","2014","4.672","201","",""
"Malta","2013","4.623","197","",""
"Malta","2012","4.505","190","",""
"Malta","2011","4.453","186","",""
"Malta","2010","4.441","184","",""
"Malta","2009","4.349","179","",""
"Marshall Islands","2019","1.19","7","13","5"
"Marshall Islands","2012","0.705","4","","22"
"Marshall Islands","2010","0.709","4","",""
"Marshall Islands","2007","1.071","6","","7"
"Mauritania","2018","0.211","93","7","12"
"Mauritania","2009","0.206","70","8","15"
"Mauritania","2004","0.160","47","","17"
"Mauritius","2019","2.764","351","","365"
"Mauritius","2017","3.171","401","",""
"Mauritius","2016","3.051","385","",""
"Mauritius","2015","3.017","380","",""
"Mauritius","2014","2.911","366","",""
"Mauritius","2013","2.796","351","",""
"Mauritius","2012","2.401","301","",""
"Mauritius","2011","2.142","268","230","36"
"Mauritius","2010","2.083","260","",""
"Mauritius","2009","2.010","250","",""
"Mauritius","2008","1.896","235","",""
"Mauritius","2007","1.848","228","",""
"Mauritius","2004","1.374","167","66",""
"Mexico","2017","1.368","17073","",""
"Mexico","2016","1.362","16798","",""
"Mexico","2015","1.304","15894","",""
"Mexico","2014","1.279","15397","",""
"Mexico","2013","1.220","14492","",""
"Mexico","2012","1.166","13677","",""
"Mexico","2011","1.163","13451","",""
"Mexico","2010","1.159","13225","12543",""
"Mexico","2009","1.076","12101","",""
"Mexico","2008","1.048","11615","",""
"Mexico","2007","1.003","10954","",""
"Mexico","2006","0.970","10437","",""
"Mexico","2005","0.939","9957","",""
"Mexico","2000","6.035","59683","","18598"
"Micronesia (Federated States of)","2008","1.353","14","","26"
"Micronesia (Federated States of)","2005","1.225","13","",""
"Micronesia (Federated States of)","2003","0.935","10","",""
"Micronesia (Federated States of)","2000","1.304","14","",""
"Monaco","2014","10.188","38","",""
"Monaco","2013","10.298","38","",""
"Monaco","2012","10.137","37","",""
"Monaco","2011","10.556","38","",""
"Monaco","1995","11.075","34","",""
"Monaco","1992","12.040","36","",""
"Monaco","1989","","31","",""
"Mongolia","2016","2.339","715","",""
"Mongolia","2012","2.818","796","",""
"Mongolia","2011","2.353","652","",""
"Mongolia","2010","1.960","533","",""
"Mongolia","2009","1.975","528","",""
"Mongolia","2008","1.949","513","",""
"Mongolia","2002","1.289","315","22",""
"Montenegro","2018","0.462","29","12","28"
"Montenegro","2015","0.399","25","",""
"Montenegro","2014","0.399","25","",""
"Montenegro","2013","0.399","25","",""
"Montenegro","2012","0.399","25","",""
"Montenegro","2011","0.384","24","",""
"Montenegro","2010","0.416","26","",""
"Morocco","2017","1.364","4855","",""
"Morocco","2015","1.406","4872","",""
"Morocco","2014","1.361","4655","",""
"Morocco","2009","0.836","2668","",""
"Morocco","2004","1.026","3091","",""
"Mozambique","2018","0.086","255","39","276"
"Mozambique","2017","0.072","205","319",""
"Mozambique","2015","0.070","189","45","212"
"Mozambique","2013","0.053","136","238","44"
"Mozambique","2012","0.028","69","305","33"
"Mozambique","2011","0.031","75","252","42"
"Mozambique","2010","0.025","60","222","166"
"Mozambique","2009","0.023","53","211","25"
"Mozambique","2004","0.008","16","","143"
"Myanmar","2018","0.652","3500","","130"
"Myanmar","2017","0.806","4301","",""
"Myanmar","2016","0.662","3510","",""
"Myanmar","2015","0.621","3270","",""
"Myanmar","2012","0.586","3011","344",""
"Myanmar","2011","0.543","2770","316",""
"Myanmar","2010","0.506","2562","287",""
"Myanmar","2009","0.459","2308","262",""
"Myanmar","2008","0.462","2305","244",""
"Myanmar","2007","0.376","1867","177",""
"Myanmar","2006","0.351","1732","165",""
"Myanmar","2005","0.326","1594","162",""
"Myanmar","2004","0.274","1329","","67"
"Namibia","2018","0.727","178","58","37"
"Namibia","2014","0.299","68","",""
"Namibia","2007","0.449","90","",""
"Namibia","2004","0.430","82","25","6"
"Nauru","2019","3.704","4","3","1"
"Nauru","2015","1.923","2","5",""
"Nauru","2011","0.990","1","","5"
"Nauru","2009","1.010","1","","2"
"Nauru","2008","1.010","1","",""
"Nauru","2004","1.010","1","",""
"Nepal","2018","0.967","2718","2025",""
"Nepal","2017","2.200","6079","",""
"Nepal","2004","0.096","245","114",""
"Netherlands","2017","5.073","8635","",""
"Netherlands","2016","5.126","8705","",""
"Netherlands","2015","5.154","8730","",""
"Netherlands","2014","4.979","8410","",""
"Netherlands","2013","4.937","8315","",""
"Netherlands","2012","4.937","8290","",""
"Netherlands","2011","4.914","8225","",""
"Netherlands","2010","4.699","7840","",""
"Netherlands","2009","4.601","7650","",""
"Netherlands","2008","4.463","7395","",""
"Netherlands","2007","4.444","7335","",""
"Netherlands","2006","4.285","7045","",""
"Netherlands","2005","4.097","6705","",""
"New Zealand","2017","6.244","2936","",""
"New Zealand","2016","6.179","2879","",""
"New Zealand","2015","6.120","2824","",""
"New Zealand","2014","6.102","2787","",""
"New Zealand","2013","6.066","2741","",""
"New Zealand","2012","5.959","2663","",""
"New Zealand","2011","5.927","2619","",""
"New Zealand","2010","5.849","2556","",""
"New Zealand","2009","4.471","1933","",""
"New Zealand","2008","4.476","1915","",""
"New Zealand","2007","4.434","1877","",""
"New Zealand","2006","4.083","1709","",""
"New Zealand","2005","3.961","1638","",""
"New Zealand","2002","4.088","1620","",""
"New Zealand","2001","3.662","1431","774","381"
"Nicaragua","2018","0.393","254","",""
"Nicaragua","2014","0.423","260","1263",""
"Nicaragua","2013","0.434","263","",""
"Nicaragua","2012","0.441","264","",""
"Nicaragua","2011","0.446","263","",""
"Nicaragua","2010","0.443","258","",""
"Nicaragua","2009","0.461","265","",""
"Nicaragua","2008","0.469","266","",""
"Nicaragua","2007","0.436","244","",""
"Nicaragua","2006","0.443","244","",""
"Nicaragua","2005","0.452","246","",""
"Nicaragua","2003","0.459","243","",""
"Niger","2016","0.009","18","",""
"Niger","2015","0.015","30","",""
"Niger","2014","0.011","21","",""
"Niger","2013","0.016","30","",""
"Niger","2009","0.011","17","","4"
"Niger","2008","0.010","16","",""
"Niger","2004","0.011","15","",""
"Nigeria","2018","0.222","4358","6151","6"
"Nigeria","2016","0.219","4081","",""
"Nigeria","2010","0.527","8359","3361",""
"Nigeria","2009","0.160","2464","",""
"Nigeria","2008","0.171","2571","705","505"
"Nigeria","2007","0.176","2571","1012","505"
"Nigeria","2006","0.157","2241","",""
"Nigeria","2005","0.152","2113","",""
"Nigeria","2003","0.188","2482","",""
"Niue","2008","12.500","2","","2"
"Niue","2006","17.647","3","",""
"Niue","2004","11.765","2","",""
"Niue","2003","11.765","2","",""
"Niue","1996","9.524","2","",""
"Norway","2018","8.717","4653","",""
"Norway","2017","8.666","4590","",""
"Norway","2016","8.621","4527","",""
"Norway","2015","8.527","4434","",""
"Norway","2014","8.654","4450","",""
"Norway","2013","8.729","4434","",""
"Norway","2012","8.656","4340","",""
"Norway","2011","8.852","4380","",""
"Norway","2010","8.787","4293","",""
"Norway","2009","8.685","4192","",""
"Norway","2008","8.778","4188","",""
"Norway","2007","8.692","4102","",""
"Norway","2006","8.782","4104","",""
"Norway","2005","8.406","3894","",""
"Norway","2004","8.023","3689","",""
"Norway","2003","8.109","3706","",""
"Norway","2002","8.066","3667","",""
"Norway","2001","8.021","3628","",""
"Norway","2000","8.019","3608","",""
"Norway","1999","8.125","3635","",""
"Norway","1998","8.189","3642","",""
"Norway","1997","8.352","3692","",""
"Norway","1996","8.256","3627","",""
"Norway","1995","8.166","3566","",""
"Norway","1994","8.154","3540","",""
"Norway","1993","8.143","3515","",""
"Norway","1992","8.198","3519","",""
"Norway","1991","8.148","3479","",""
"Norway","1990","8.203","3484","",""
"Norway","1989","","3494","",""
"Oman","2018","2.975","1437","313",""
"Oman","2017","2.893","1350","313",""
"Oman","2016","2.755","1234","311",""
"Oman","2015","2.693","1149","312",""
"Oman","2014","2.558","1030","302",""
"Oman","2013","2.329","877","",""
"Oman","2012","2.301","805","",""
"Oman","2011","2.233","726","",""
"Oman","2010","2.150","654","",""
"Oman","2009","2.166","623","",""
"Oman","2008","2.025","557","",""
"Oman","2007","1.972","524","",""
"Oman","2006","1.922","496","",""
"Oman","2005","1.784","448","",""
"Oman","2004","1.701","416","",""
"Oman","2000","1.155","262","",""
"Oman","1999","0.470","106","",""
"Oman","1998","0.413","93","",""
"Oman","1997","0.373","84","",""
"Oman","1995","0.649","143","",""
"Oman","1990","0.464","84","",""
"Pakistan","2018","0.964","20463","",""
"Pakistan","2017","0.984","20463","",""
"Pakistan","2016","0.900","18333","",""
"Pakistan","2015","0.835","16652","3994",""
"Pakistan","2014","0.773","15106","",""
"Pakistan","2013","0.717","13716","",""
"Pakistan","2012","0.678","12692","",""
"Pakistan","2011","0.635","11649","",""
"Pakistan","2010","0.586","10508","",""
"Pakistan","2009","0.560","9822","",""
"Pakistan","2008","0.525","9013","",""
"Pakistan","2004","0.412","6452","550","860"
"Pakistan","2001","0.317","4622","",""
"Pakistan","2000","0.293","4175","",""
"Pakistan","1999","0.266","3687","",""
"Pakistan","1998","0.255","3444","",""
"Pakistan","1997","0.241","3159","",""
"Pakistan","1996","0.231","2938","",""
"Pakistan","1995","0.222","2751","",""
"Pakistan","1994","0.215","2589","",""
"Pakistan","1993","0.205","2401","",""
"Pakistan","1992","0.200","2278","",""
"Palau","2019","2.222","4","12","3"
"Palau","2007","2.604","5","",""
"Palau","1998","13.043","24","",""
"Panama","2017","3.034","1246","",""
"Panama","2016","2.797","1129","",""
"Panama","2013","2.704","1037","",""
"Panama","2012","3.267","1232","",""
"Panama","2011","3.006","1114","",""
"Panama","2010","2.995","1091","",""
"Panama","2009","2.883","1032","",""
"Panama","2008","2.816","990","",""
"Panama","2007","2.733","944","",""
"Panama","2006","2.810","953","",""
"Panama","2005","2.817","938","",""
"Panama","2004","2.823","923","",""
"Panama","2003","2.705","868","",""
"Panama","2002","2.848","897","",""
"Panama","2001","2.476","765","",""
"Panama","1999","2.679","796","",""
"Panama","1998","2.706","788","",""
"Panama","1997","2.607","744","",""
"Panama","1996","2.625","734","",""
"Panama","1995","2.471","677","",""
"Panama","1994","2.332","626","",""
"Panama","1993","2.183","574","",""
"Panama","1992","2.217","571","",""
"Panama","1991","2.105","531","",""
"Panama","1990","2.048","506","",""
"Papua New Guinea","2019","0.071","62","151","15"
"Papua New Guinea","2018","0.165","142","",""
"Papua New Guinea","2009","0.169","121","",""
"Papua New Guinea","2000","0.154","90","",""
"Paraguay","2018","1.623","1129","41","55"
"Paraguay","2012","1.641","1054","",""
"Paraguay","2002","4.385","2426","756",""
"Peru","2016","1.849","5719","",""
"Peru","2012","1.515","4471","",""
"Peru","2009","1.240","3570","",""
"Peru","2007","5.407","15320","6650",""
"Peru","1999","1.077","2809","",""
"Philippines","2019","0.021","222","",""
"Philippines","2017","2.429","25551","",""
"Philippines","2016","0.019","202","",""
"Philippines","2015","0.021","218","",""
"Philippines","2008","0.208","1891","",""
"Philippines","2004","5.419","45903","",""
"Philippines","2002","5.312","43220","",""
"Philippines","2000","1.098","8564","",""
"Poland","2017","3.512","13331","",""
"Poland","2016","3.503","13308","",""
"Poland","2015","3.314","12603","",""
"Poland","2014","3.436","13088","",""
"Poland","2013","3.229","12322","",""
"Poland","2012","3.268","12491","",""
"Poland","2011","3.404","13033","",""
"Poland","2010","3.274","12549","",""
"Poland","2009","3.173","12169","",""
"Poland","2008","3.399","13038","",""
"Poland","2007","3.481","13352","",""
"Poland","2006","3.276","12564","",""
"Poland","2005","3.192","12248","",""
"Poland","2004","3.682","14139","",""
"Poland","2003","2.886","11094","",""
"Poland","2002","2.800","10775","",""
"Poland","2001","2.628","10124","",""
"Poland","2000","3.050","11758","",""
"Poland","1999","3.438","13260","",""
"Poland","1998","4.492","17323","",""
"Poland","1997","4.572","17624","",""
"Poland","1996","4.640","17869","",""
"Poland","1995","4.630","17805","",""
"Poland","1994","4.556","17490","",""
"Poland","1993","4.426","16951","",""
"Poland","1992","4.350","16615","",""
"Poland","1991","4.607","17544","",""
"Poland","1990","4.796","18205","",""
"Poland","1989","","17952","",""
"Portugal","2017","10.120","10412","",""
"Portugal","2016","9.564","9875","",""
"Portugal","2015","9.132","9468","",""
"Portugal","2014","8.759","9125","",""
"Portugal","2013","8.467","8867","",""
"Portugal","2012","8.042","8465","",""
"Portugal","2011","7.671","8108","",""
"Portugal","2010","7.649","8105","",""
"Portugal","2009","6.229","6605","",""
"Portugal","2008","5.694","6033","",""
"Portugal","2007","5.324","5629","",""
"Portugal","2006","5.373","5665","",""
"Portugal","2005","4.811","5056","",""
"Portugal","2004","4.495","4707","",""
"Portugal","2003","4.223","4404","",""
"Portugal","2002","3.980","4134","",""
"Qatar","2019","6.147","1741","799","105"
"Qatar","2018","6.259","1741","",""
"Qatar","2016","8.119","2155","",""
"Qatar","2014","6.758","1662","",""
"Qatar","2006","4.752","486","",""
"Qatar","2005","7.973","690","",""
"Republic of Korea","2017","4.951","25300","",""
"Republic of Korea","2016","4.737","24150","",""
"Republic of Korea","2015","4.632","23540","",""
"Republic of Korea","2014","4.535","22952","",""
"Republic of Korea","2013","4.466","22482","",""
"Republic of Korea","2012","4.372","21888","",""
"Republic of Korea","2011","4.300","21410","",""
"Republic of Korea","2010","4.226","20936","",""
"Republic of Korea","2009","4.137","20415","",""
"Republic of Korea","2008","4.016","19751","",""
"Republic of Korea","2007","3.894","19092","",""
"Republic of Korea","2006","3.788","18515","",""
"Republic of Korea","2005","3.649","17771","",""
"Republic of Korea","2004","","","25626","18946"
"Republic of Moldova","2017","4.215","1711","",""
"Republic of Moldova","2015","4.368","1778","",""
"Republic of Moldova","2014","4.299","1751","",""
"Republic of Moldova","2013","4.297","1751","",""
"Republic of Moldova","2012","4.097","1670","",""
"Republic of Moldova","2011","4.099","1672","",""
"Republic of Moldova","2010","4.016","1641","",""
"Republic of Moldova","2009","3.888","1593","",""
"Republic of Moldova","2008","3.859","1587","",""
"Republic of Moldova","2007","3.717","1535","",""
"Republic of Moldova","2006","3.560","1476","",""
"Republic of Moldova","2005","3.493","1453","",""
"Republic of Moldova","2004","3.364","1402","",""
"Republic of Moldova","2003","3.290","1373","",""
"Republic of Moldova","2002","3.262","1363","",""
"Republic of Moldova","2001","3.107","1301","",""
"Republic of Moldova","2000","3.165","1330","",""
"Republic of Moldova","1999","4.051","1712","",""
"Republic of Moldova","1998","4.306","1832","",""
"Republic of Moldova","1997","4.351","1865","",""
"Republic of Moldova","1996","4.263","1840","",""
"Republic of Moldova","1995","4.430","1923","",""
"Republic of Moldova","1994","4.419","1926","",""
"Republic of Moldova","1993","4.340","1897","",""
"Republic of Moldova","1992","4.382","1918","",""
"Republic of Moldova","1991","4.343","1900","",""
"Republic of Moldova","1990","4.467","1950","",""
"Republic of Moldova","1989","","1968","",""
"Republic of North Macedonia","2015","8.772","1824","",""
"Republic of North Macedonia","2013","8.213","1705","",""
"Republic of North Macedonia","2012","7.964","1652","",""
"Republic of North Macedonia","2011","7.826","1622","",""
"Republic of North Macedonia","2010","7.722","1599","",""
"Republic of North Macedonia","2009","6.887","1425","",""
"Romania","2017","7.964","15653","",""
"Romania","2016","8.065","15965","",""
"Romania","2013","7.077","14248","",""
"Romania","2012","6.812","13779","",""
"Romania","2011","6.552","13324","5440",""
"Romania","2010","6.330","12959","",""
"Romania","2009","6.032","12448","",""
"Romania","2008","5.691","11855","",""
"Romania","2007","5.520","11610","",""
"Romania","2006","4.986","10588","",""
"Romania","2005","4.773","10223","",""
"Romania","2004","4.394","9481","",""
"Romania","2003","4.153","9021","",""
"Romania","2002","3.821","8351","4931",""
"Romania","2001","3.733","8208","",""
"Romania","2000","3.598","7964","",""
"Romania","1999","3.188","7108","",""
"Russian Federation","2014","2.842","41113","",""
"Russian Federation","2013","2.892","41743","",""
"Russian Federation","2012","2.933","42240","",""
"Russian Federation","2011","2.921","41972","",""
"Russian Federation","2010","2.891","41481","",""
"Russian Federation","2009","2.865","41063","",""
"Russian Federation","2008","2.895","41476","",""
"Russian Federation","2007","2.888","41378","",""
"Russian Federation","2006","2.913","41778","",""
"Russian Federation","2005","2.901","41679","",""
"Russian Federation","2004","2.945","42431","",""
"Russian Federation","2003","2.949","42650","",""
"Russian Federation","2002","2.975","43195","",""
"Russian Federation","2001","2.961","43174","",""
"Russian Federation","2000","2.972","43518","",""
"Russian Federation","1999","2.733","40149","",""
"Russian Federation","1998","2.732","40256","",""
"Russian Federation","1997","2.696","39829","",""
"Russian Federation","1996","2.652","39257","",""
"Russian Federation","1995","2.582","38277","",""
"Russian Federation","1994","2.755","40876","",""
"Russian Federation","1993","2.711","40219","",""
"Russian Federation","1992","2.696","39971","",""
"Rwanda","2018","0.185","228","",""
"Rwanda","2017","0.197","236","",""
"Rwanda","2015","0.112","127","",""
"Rwanda","2009","0.074","72","17","60"
"Rwanda","2008","0.066","63","14","47"
"Saint Kitts and Nevis","2015","3.906","20","",""
"Saint Kitts and Nevis","2001","3.363","15","",""
