"Country","Year","Dentists (per 10 000 population)","Dentists (number)","Dental Assistants and Therapists (number)","Dental Prosthetic Technicians (number)"
"Saint Kitts and Nevis","1999","3.211","14","",""
"Saint Kitts and Nevis","1998","2.778","12","",""
"Saint Kitts and Nevis","1997","2.331","10","",""
"Saint Kitts and Nevis","1996","2.588","11","",""
"Saint Kitts and Nevis","1995","2.613","11","",""
"Saint Kitts and Nevis","1994","2.404","10","",""
"Saint Kitts and Nevis","1993","2.190","9","",""
"Saint Kitts and Nevis","1992","2.211","9","",""
"Saint Kitts and Nevis","1991","1.733","7","",""
"Saint Kitts and Nevis","1990","2.978","12","",""
"Saint Lucia","2017","1.713","31","",""
"Saint Lucia","2014","3.085","55","",""
"Saint Lucia","2013","3.042","54","",""
"Saint Lucia","2012","2.773","49","",""
"Saint Lucia","2011","2.393","42","",""
"Saint Lucia","2010","1.608","28","",""
"Saint Lucia","2009","0.290","5","",""
"Saint Lucia","2008","0.118","2","",""
"Saint Lucia","2007","0.179","3","",""
"Saint Lucia","2004","0.433","7","",""
"Saint Lucia","2003","0.436","7","",""
"Saint Lucia","2002","0.439","7","",""
"Saint Lucia","2001","1.707","27","",""
"Saint Lucia","1999","0.581","9","",""
"Saint Vincent and the Grenadines","2004","1.198","13","",""
"Saint Vincent and the Grenadines","2001","1.946","21","",""
"Saint Vincent and the Grenadines","2000","0.464","5","",""
"Saint Vincent and the Grenadines","1997","0.556","6","",""
"Samoa","2019","1.065","21","40","2"
"Samoa","2016","1.491","29","",""
"Samoa","2013","0.629","12","",""
"Samoa","2010","2.421","45","",""
"Samoa","2008","0.927","17","","46"
"Samoa","2003","0.563","10","",""
"San Marino","2014","6.687","22","",""
"Sao Tome and Principe","2004","","","9","2"
"Saudi Arabia","2018","4.971","16752","","2975"
"Saudi Arabia","2017","4.210","13935","",""
"Saudi Arabia","2016","4.377","14201","",""
"Saudi Arabia","2014","3.979","12301","",""
"Saudi Arabia","2001","0.746","1581","",""
"Senegal","2017","0.078","121","57",""
"Senegal","2016","0.081","121","","57"
"Senegal","2013","0.039","54","",""
"Senegal","2008","0.087","105","",""
"Senegal","2004","0.065","70","","27"
"Serbia","2016","","","1748",""
"Serbia","2015","2.142","1901","","803"
"Serbia","2014","2.596","2310","",""
"Serbia","2013","2.685","2395","",""
"Serbia","2012","2.749","2458","",""
"Serbia","2011","2.845","2550","",""
"Serbia","2010","2.814","2530","",""
"Serbia","2009","2.519","2273","",""
"Seychelles","2019","4.299","42","37","81"
"Seychelles","2016","3.553","34","",""
"Seychelles","2012","1.512","14","",""
"Seychelles","2011","1.959","18","",""
"Seychelles","2010","2.081","19","",""
"Seychelles","2009","1.762","16","",""
"Seychelles","2008","1.326","12","",""
"Seychelles","2007","1.776","16","",""
"Seychelles","2006","1.676","15","",""
"Seychelles","2005","1.127","10","",""
"Seychelles","2004","1.487","13","75","6"
"Sierra Leone","2016","0.072","53","",""
"Sierra Leone","2010","0.009","6","",""
"Sierra Leone","2008","0.010","6","10","8"
"Sierra Leone","2004","0.009","5","",""
"Singapore","2018","4.104","2363","389",""
"Singapore","2016","3.888","2198","",""
"Singapore","2013","3.308","1804","345",""
"Singapore","2012","2.928","1572","316",""
"Singapore","2011","2.808","1478","299",""
"Singapore","2010","3.056","1568","",""
"Singapore","2009","2.946","1463","",""
"Singapore","2008","2.961","1414","",""
"Singapore","2007","2.957","1354","",""
"Singapore","2006","3.005","1323","",""
"Singapore","2005","2.994","1277","",""
"Singapore","2004","2.937","1227","",""
"Singapore","2003","2.882","1190","",""
"Singapore","2001","2.666","1087","",""
"Singapore","1999","2.382","942","",""
"Slovakia","2015","4.870","2647","",""
"Slovakia","2013","4.770","2586","303","888"
"Slovakia","2009","4.875","2633","",""
"Slovakia","2004","4.330","2338","",""
"Slovakia","2003","4.330","2338","",""
"Slovakia","2002","4.333","2340","",""
"Slovakia","2001","4.391","2371","",""
"Slovakia","2000","4.415","2384","",""
"Slovenia","2017","7.007","1455","286","1741"
"Slovenia","2016","6.851","1421","",""
"Slovenia","2015","6.721","1392","",""
"Slovenia","2014","6.602","1365","",""
"Slovenia","2013","6.481","1337","",""
"Slovenia","2012","6.298","1296","",""
"Slovenia","2011","6.240","1280","",""
"Slovenia","2010","6.162","1259","",""
"Slovenia","2009","6.077","1236","",""
"Slovenia","2008","6.011","1216","",""
"Slovenia","2007","6.133","1234","",""
"Slovenia","2006","6.003","1202","",""
"Slovenia","2005","6.005","1198","",""
"Slovenia","2004","5.994","1193","",""
"Slovenia","2003","6.052","1203","",""
"Slovenia","2002","6.033","1199","",""
"Slovenia","2001","5.927","1178","",""
"Slovenia","2000","5.831","1159","",""
"Slovenia","1999","5.836","1160","",""
"Slovenia","1998","5.892","1171","",""
"Solomon Islands","2016","0.468","29","",""
"Solomon Islands","2013","0.473","27","","31"
"Solomon Islands","2012","0.396","22","",""
"Solomon Islands","2011","0.665","36","",""
"Solomon Islands","2005","1.107","52","",""
"Solomon Islands","1999","0.647","26","",""
"South Africa","2017","","","6948",""
"South Africa","2016","1.127","6333","5484",""
"South Africa","2015","1.081","5985","4785",""
"South Africa","2014","1.066","5817","4687",""
"South Africa","2013","1.075","5770","4625",""
"South Africa","2012","1.051","5554","4104",""
"South Africa","2011","1.036","5387","3792",""
"South Africa","2010","1.034","5296","3516",""
"South Africa","2004","1.179","5577","417",""
"South Sudan","2018","0.003","3","22","8"
"Spain","2017","7.865","36689","",""
"Spain","2016","7.659","35716","",""
"Spain","2015","7.422","34641","",""
"Spain","2014","7.116","33286","",""
"Spain","2013","6.913","32445","",""
"Spain","2012","6.627","31187","",""
"Spain","2011","6.174","29070","",""
"Spain","2010","5.929","27826","",""
"Spain","2009","5.737","26725","",""
"Spain","2008","5.578","25697","",""
"Spain","2007","5.396","24515","",""
"Spain","2006","5.209","23300","",""
"Spain","2005","5.032","22150","",""
"Spain","2004","4.862","21055","",""
"Spain","2003","4.696","20005","",""
"Spain","2002","4.602","19292","",""
"Spain","2001","4.479","18507","",""
"Spain","2000","4.296","17538","",""
"Spain","1999","4.175","16891","",""
"Spain","1998","4.013","16133","",""
"Spain","1997","3.819","15291","",""
"Spain","1996","3.728","14877","",""
"Spain","1995","3.522","14012","",""
"Spain","1994","3.339","13242","",""
"Spain","1993","3.098","12247","",""
"Spain","1992","2.996","11808","",""
"Spain","1991","2.862","11249","",""
"Spain","1990","2.639","10347","",""
"Spain","1989","","9433","",""
"Sri Lanka","2018","0.650","1380","380","30"
"Sri Lanka","2017","0.697","1473","368","42"
"Sri Lanka","2016","0.686","1443","375","40"
"Sri Lanka","2015","0.650","1360","","50"
"Sri Lanka","2014","0.654","1360","",""
"Sri Lanka","2013","0.619","1279","",""
"Sri Lanka","2012","0.596","1223","",""
"Sri Lanka","2011","0.562","1147","",""
"Sri Lanka","2010","0.516","1046","",""
"Sri Lanka","2009","0.426","858","",""
"Sri Lanka","2008","0.658","1314","",""
"Sri Lanka","2007","0.662","1314","402","27"
"Sri Lanka","2006","0.600","1181","",""
"Sri Lanka","2005","0.488","954","",""
"Sri Lanka","2004","0.398","771","448","26"
"Sri Lanka","2002","0.394","751","",""
"Sri Lanka","2000","0.339","637","",""
"Sri Lanka","1999","0.279","521","",""
"Sri Lanka","1998","0.259","481","",""
"Sri Lanka","1997","0.250","462","",""
"Sri Lanka","1996","0.229","421","",""
"Sri Lanka","1995","0.212","387","",""
"Sri Lanka","1993","0.218","390","",""
"Sri Lanka","1992","0.202","358","",""
"Sri Lanka","1991","0.181","317","",""
"Sri Lanka","1990","0.205","355","",""
"Sudan","2015","2.086","8116","",""
"Sudan","2008","0.234","772","",""
"Sudan","2007","0.233","755","",""
"Sudan","2006","0.298","944","",""
"Sudan","2004","0.232","701","295","86"
"Suriname","2009","0.478","25","",""
"Suriname","2004","0.851","42","",""
"Suriname","2000","0.085","4","",""
"Sweden","2016","8.212","8077","4966",""
"Sweden","2015","8.001","7813","",""
"Sweden","2014","7.962","7717","",""
"Sweden","2013","7.974","7669","",""
"Sweden","2012","8.009","7643","",""
"Sweden","2011","7.989","7563","",""
"Sweden","2010","7.927","7444","",""
"Sweden","2009","7.902","7359","",""
"Sweden","2008","7.972","7363","",""
"Sweden","2007","8.123","7443","",""
"Sweden","2006","8.145","7409","",""
"Sweden","2005","8.113","7333","",""
"Sweden","2004","8.181","7355","",""
"Sweden","2003","8.064","7218","",""
"Sweden","2002","8.094","7220","",""
"Sweden","2001","8.024","7140","",""
"Sweden","2000","7.966","7075","",""
"Sweden","1999","8.063","7154","",""
"Sweden","1998","8.072","7161","",""
"Sweden","1997","8.063","7151","",""
"Sweden","1996","8.304","7357","",""
"Sweden","1995","8.535","7542","",""
"Switzerland","2016","5.032","4217","",""
"Switzerland","2015","5.062","4200","",""
"Switzerland","2014","5.094","4180","",""
"Switzerland","2013","5.189","4208","",""
"Switzerland","2012","5.221","4181","",""
"Switzerland","2011","5.214","4123","",""
"Switzerland","2010","5.262","4109","",""
"Switzerland","2009","5.224","4030","",""
"Switzerland","2008","5.230","3987","",""
"Switzerland","2007","5.216","3931","",""
"Switzerland","2006","5.208","3884","",""
"Switzerland","2005","5.096","3764","",""
"Switzerland","2004","5.023","3679","",""
"Switzerland","2003","4.950","3598","",""
"Switzerland","2002","4.849","3501","",""
"Switzerland","2001","4.780","3432","",""
"Switzerland","2000","4.855","3468","",""
"Switzerland","1999","4.848","3449","",""
"Switzerland","1998","4.893","3470","",""
"Switzerland","1997","5.021","3549","",""
"Switzerland","1996","4.916","3460","",""
"Switzerland","1995","4.966","3474","",""
"Switzerland","1994","5.014","3479","",""
"Switzerland","1993","4.817","3309","",""
"Switzerland","1992","4.958","3368","",""
"Switzerland","1991","4.840","3252","",""
"Switzerland","1990","4.912","3268","",""
"Switzerland","1989","","3230","",""
"Syrian Arab Republic","2016","7.175","12532","",""
"Syrian Arab Republic","2014","8.864","16585","",""
"Syrian Arab Republic","2010","7.482","15984","",""
"Syrian Arab Republic","2009","7.450","15799","",""
"Syrian Arab Republic","2008","7.825","16169","",""
"Syrian Arab Republic","2007","7.441","14791","",""
"Syrian Arab Republic","2005","8.564","15725","",""
"Syrian Arab Republic","2004","8.589","15312","",""
"Syrian Arab Republic","2003","8.566","14917","",""
"Syrian Arab Republic","2002","8.552","14610","",""
"Syrian Arab Republic","2000","6.800","11160","",""
"Syrian Arab Republic","1999","6.678","10694","",""
"Syrian Arab Republic","1998","6.714","10473","",""
"Syrian Arab Republic","1997","6.434","9764","",""
"Tajikistan","2014","1.562","1289","",""
"Tajikistan","2013","1.613","1300","",""
"Tajikistan","2012","1.543","1215","",""
"Tajikistan","2011","1.588","1222","",""
"Tajikistan","2010","1.639","1234","",""
"Tajikistan","2009","1.532","1128","",""
"Tajikistan","2008","1.481","1068","",""
"Tajikistan","2007","1.465","1035","",""
"Tajikistan","2006","1.429","989","",""
"Tajikistan","2005","1.460","991","",""
"Tajikistan","2004","1.457","971","",""
"Tajikistan","2003","1.423","931","",""
"Tajikistan","2002","1.486","955","",""
"Tajikistan","2001","1.464","925","",""
"Tajikistan","2000","1.483","922","",""
"Tajikistan","1999","1.462","895","",""
"Tajikistan","1998","1.885","1136","",""
"Tajikistan","1997","1.605","953","",""
"Tajikistan","1996","1.639","959","",""
"Tajikistan","1995","1.658","956","",""
"Tajikistan","1994","1.631","926","",""
"Tajikistan","1993","1.673","936","",""
"Tajikistan","1992","1.590","875","",""
"Tajikistan","1991","1.418","766","",""
"Tajikistan","1990","1.499","792","",""
"Tajikistan","1989","","778","",""
"Thailand","2019","2.377","16547","6981","3413"
"Thailand","2018","2.319","16102","17676",""
"Thailand","2017","1.672","11575","",""
"Thailand","2016","1.618","11158","16654",""
"Thailand","2010","1.763","11847","5375",""
"Thailand","2009","1.484","9926","4250",""
"Thailand","2008","1.450","9646","3501",""
"Thailand","2007","1.411","9337","3279",""
"Thailand","2006","1.338","8809","3693",""
"Thailand","2004","0.635","4129","",""
"Thailand","2002","0.698","4471","",""
"Thailand","2001","0.679","4317","",""
"Thailand","1999","0.646","4026","",""
"Thailand","1998","0.636","3917","",""
"Thailand","1997","0.561","3414","",""
"Thailand","1995","0.491","2920","",""
"Thailand","1993","0.478","2786","",""
"Thailand","1991","0.421","2408","",""
"Thailand","1989","","2107","",""
"Timor-Leste","2019","0.077","10","54","43"
"Timor-Leste","2018","0.063","8","",""
"Timor-Leste","2017","0.684","85","",""
"Timor-Leste","2015","0.150","18","",""
"Timor-Leste","2014","0.153","18","",""
"Timor-Leste","2011","0.063","7","38","1"
"Timor-Leste","2010","0.064","7","37",""
"Timor-Leste","2009","0.056","6","34",""
"Timor-Leste","2008","0.019","2","29",""
"Timor-Leste","2007","","","28",""
"Timor-Leste","2004","0.021","2","","43"
"Timor-Leste","2001","0.011","1","9",""
"Togo","2018","0.008","6","","3"
"Togo","2017","0.074","57","","6"
"Togo","2016","","","","2"
"Togo","2015","0.025","18","",""
"Togo","2010","0.103","66","33",""
"Togo","2008","0.025","15","","4"
"Togo","2007","0.025","15","","4"
"Togo","2004","0.033","18","","1"
"Tonga","2019","1.627","17","32","14"
"Tonga","2013","1.179","12","","27"
"Tonga","2010","0.962","10","",""
"Tonga","2009","1.059","11","","26"
"Tonga","2003","2.309","23","",""
"Tonga","2001","3.350","33","",""
"Trinidad and Tobago","2019","3.183","444","282",""
"Trinidad and Tobago","2018","3.547","493","",""
"Trinidad and Tobago","2017","3.569","494","",""
"Trinidad and Tobago","2015","3.569","489","",""
"Trinidad and Tobago","2011","2.567","343","",""
"Trinidad and Tobago","2010","2.583","343","",""
"Trinidad and Tobago","2009","2.362","312","",""
"Trinidad and Tobago","2007","2.247","294","",""
"Trinidad and Tobago","2006","2.180","284","",""
"Trinidad and Tobago","2003","1.940","249","",""
"Trinidad and Tobago","2002","1.723","220","",""
"Trinidad and Tobago","2001","1.714","218","",""
"Trinidad and Tobago","2000","1.563","198","",""
"Trinidad and Tobago","1999","1.495","189","",""
"Trinidad and Tobago","1998","1.498","189","",""
"Trinidad and Tobago","1997","1.270","160","",""
"Trinidad and Tobago","1996","1.121","141","",""
"Trinidad and Tobago","1995","1.068","134","",""
"Tunisia","2016","3.059","3458","",""
"Tunisia","2015","3.125","3494","",""
"Tunisia","2010","2.943","3130","",""
"Tunisia","2006","1.821","1858","",""
"Tunisia","2005","1.830","1850","",""
"Tunisia","2004","2.095","2100","","352"
"Tunisia","2002","1.412","1394","",""
"Tunisia","2001","1.409","1380","",""
"Tunisia","2000","1.355","1315","",""
"Tunisia","1999","1.353","1301","",""
"Tunisia","1998","1.342","1276","",""
"Tunisia","1997","1.277","1200","",""
"Tunisia","1996","1.196","1108","",""
"Tunisia","1995","1.137","1038","",""
"Tunisia","1994","1.124","1008","",""
"Tunisia","1993","1.141","1004","",""
"Tunisia","1992","1.125","969","",""
"Tunisia","1991","0.962","811","",""
"Tunisia","1990","0.981","809","",""
"Turkey","2017","3.438","27889","",""
"Turkey","2016","3.341","26674","",""
"Turkey","2015","3.162","24834","",""
"Turkey","2014","2.978","22996","",""
"Turkey","2013","2.936","22295","",""
"Turkey","2012","2.867","21404","",""
"Turkey","2011","2.873","21099","",""
"Turkey","2010","2.963","21432","",""
"Turkey","2009","2.887","20589","",""
"Turkey","2008","2.834","19959","",""
"Turkey","2007","2.771","19278","",""
"Turkey","2006","2.666","18332","",""
"Turkey","2005","2.673","18149","",""
"Turkey","2004","2.670","17893","",""
"Turkey","2003","2.685","17744","",""
"Turkey","2002","2.513","16371","",""
"Turkey","2001","2.504","16075","",""
"Turkey","2000","2.515","15906","",""
"Turkey","1999","2.284","14226","",""
"Turkey","1998","2.188","13421","",""
"Turkey","1997","2.110","12737","",""
"Turkey","1996","2.088","12406","",""
"Turkey","1995","2.003","11717","",""
"Turkey","1994","1.990","11457","",""
"Turkey","1993","1.954","11069","",""
"Turkey","1992","1.920","10703","",""
"Turkey","1991","1.937","10623","",""
"Turkey","1990","1.950","10514","",""
"Turkey","1989","","10132","",""
"Turkmenistan","2014","1.154","631","",""
"Turkmenistan","2013","1.137","610","",""
"Turkmenistan","2012","1.166","614","",""
"Turkmenistan","2011","1.167","604","",""
"Turkmenistan","2010","1.152","586","",""
"Turkmenistan","2009","1.402","702","",""
"Turkmenistan","2008","1.410","696","",""
"Turkmenistan","2007","1.439","701","",""
"Turkmenistan","2006","1.462","703","",""
"Turkmenistan","2005","1.592","757","",""
"Turkmenistan","2004","1.641","772","",""
"Turkmenistan","2003","2.111","983","",""
"Turkmenistan","2002","2.161","996","",""
"Turkmenistan","2001","2.303","1051","",""
"Turkmenistan","2000","2.407","1087","",""
"Turkmenistan","1999","1.785","797","",""
"Turkmenistan","1998","1.785","788","",""
"Uganda","2019","0.07","310","900","130"
"Uganda","2015","0.072","276","",""
"Uganda","2005","0.035","98","","342"
"Uganda","2004","0.044","117","228","18"
"Ukraine","2014","5.975","26954","",""
"Ukraine","2013","6.831","30934","",""
"Ukraine","2012","6.751","30688","",""
"Ukraine","2011","6.632","30255","",""
"Ukraine","2010","6.583","30147","",""
"Ukraine","2009","6.459","29693","",""
"Ukraine","2008","4.604","21250","",""
"Ukraine","2007","4.605","21351","",""
"Ukraine","2006","4.598","21432","",""
"Ukraine","2005","4.630","21709","",""
"Ukraine","2004","4.594","21693","",""
"Ukraine","2003","4.588","21829","",""
"Ukraine","2002","4.565","21903","",""
"Ukraine","2001","4.544","21993","",""
"Ukraine","2000","4.581","22372","",""
"United Arab Emirates","2018","6.513","6273","",""
"United Arab Emirates","2017","5.914","5611","",""
"United Arab Emirates","2016","5.518","5165","",""
"United Arab Emirates","2015","5.307","4916","",""
"United Arab Emirates","2014","4.351","4009","",""
"United Arab Emirates","2013","3.458","3181","",""
"United Arab Emirates","2012","3.438","3143","",""
"United Arab Emirates","2011","3.353","3000","",""
"United Arab Emirates","2010","3.604","3081","",""
"United Arab Emirates","2009","3.630","2874","",""
"United Arab Emirates","2008","2.996","2124","",""
"United Arab Emirates","2007","3.111","1919","",""
"United Arab Emirates","2006","2.562","1358","",""
"United Arab Emirates","2005","3.082","1414","",""
"United Arab Emirates","2004","3.647","1484","",""
"United Arab Emirates","2003","3.432","1274","",""
"United Arab Emirates","2002","3.306","1150","",""
"United Arab Emirates","2001","3.164","1045","",""
"United Arab Emirates","2000","2.559","802","",""
"United Kingdom of Great Britain and Northern Ireland","2018","5.213","35000","",""
"United Kingdom of Great Britain and Northern Ireland","2017","5.209","34760","",""
"United Kingdom of Great Britain and Northern Ireland","2016","5.259","34867","",""
"United Kingdom of Great Britain and Northern Ireland","2015","5.257","34621","",""
"United Kingdom of Great Britain and Northern Ireland","2014","5.250","34348","",""
"United Kingdom of Great Britain and Northern Ireland","2013","5.182","33676","",""
"United Kingdom of Great Britain and Northern Ireland","2012","5.156","33268","",""
"United Kingdom of Great Britain and Northern Ireland","2011","5.189","33218","",""
"United Kingdom of Great Britain and Northern Ireland","2010","5.090","32298","",""
"United Kingdom of Great Britain and Northern Ireland","2009","4.997","31394","",""
"United Kingdom of Great Britain and Northern Ireland","2008","4.927","30617","",""
"United Kingdom of Great Britain and Northern Ireland","2007","4.792","29451","",""
"United Kingdom of Great Britain and Northern Ireland","1997","4.488","26166","31522","32563"
"United Republic of Tanzania","2018","0.075","423","768","864"
"United Republic of Tanzania","2014","0.021","104","933",""
"United Republic of Tanzania","2012","0.021","99","366","44"
"United Republic of Tanzania","2006","0.011","43","175","12"
"United Republic of Tanzania","2002","0.042","147","99","21"
"United States of America","2010","5.778","178559","495175",""
"United States of America","2005","6.082","179414","454582",""
"United States of America","2000","4.765","134245","329418",""
"Uruguay","2017","14.884","5115","",""
"Uruguay","2016","12.193","4175","1561",""
"Uruguay","2008","7.413","2476","",""
"Uruguay","2002","11.834","3936","",""
"Uzbekistan","2014","1.486","4520","",""
"Uzbekistan","2013","1.587","4749","",""
"Uzbekistan","2012","1.602","4719","",""
"Uzbekistan","2011","1.678","4861","",""
"Uzbekistan","2010","1.646","4693","",""
"Uzbekistan","2009","1.592","4468","",""
"Uzbekistan","2008","1.634","4513","",""
"Uzbekistan","2007","1.745","4748","",""
"Uzbekistan","2006","1.793","4805","",""
"Uzbekistan","2005","1.965","5194","",""
"Uzbekistan","2004","2.015","5254","",""
"Uzbekistan","2003","2.085","5368","",""
"Uzbekistan","2002","2.110","5365","",""
"Uzbekistan","2001","2.104","5283","",""
"Uzbekistan","2000","2.063","5109","",""
"Uzbekistan","1999","2.214","5406","",""
"Uzbekistan","1998","2.435","5852","",""
"Uzbekistan","1997","2.475","5852","",""
"Vanuatu","2019","0.3","9","12",""
"Vanuatu","2012","0.681","17","",""
"Vanuatu","2008","0.134","3","",""
"Venezuela (Bolivarian Republic of)","2001","5.550","13680","",""
"Yemen","2014","0.210","543","",""
"Yemen","2010","0.247","573","324",""
"Yemen","2004","0.245","478","372",""
"Yemen","1997","0.160","256","",""
"Zambia","2018","0.012","20","67","238"
"Zambia","2016","0.191","312","",""
"Zambia","2012","0.053","77","282","42"
"Zambia","2011","0.052","73","262","38"
"Zambia","2010","0.181","246","",""
"Zambia","2009","0.182","241","",""
"Zambia","2004","0.233","269","193","29"
"Zimbabwe","2018","0.072","104","508","14"
"Zimbabwe","2017","0.077","109","276",""
"Zimbabwe","2016","0.097","136","157",""
"Zimbabwe","2015","0.048","66","261",""
"Zimbabwe","2014","0.079","107","171",""
"Zimbabwe","2013","0.177","236","",""
"Zimbabwe","2012","0.178","233","",""
"Zimbabwe","2011","0.198","255","",""
"Zimbabwe","2010","0.035","45","134","6"
"Zimbabwe","2009","0.145","182","",""
"Zimbabwe","2008","0.146","181","",""
"Zimbabwe","2007","0.157","192","",""
"Zimbabwe","1995","0.133","152","","33"
"Zimbabwe","1990","0.126","131","","22"
